journal_detectado,categoria,subcategoria,n_citas
American Economic Review,ortodoxo,tier1_generalist,115
Journal of Monetary Economics,ortodoxo,macro_monetario,84
Banco de México WP,institucional,wp_banxico,79
Econometrica,ortodoxo,tier1_generalist,61
Quarterly Journal of Economics,ortodoxo,tier1_generalist,57
Journal of Political Economy,ortodoxo,tier1_generalist,53
Federal Reserve,institucional,wp_bc_avanzado,47
"Journal of Money, Credit and Banking",ortodoxo,macro_monetario,43
Journal of Econometrics,ortodoxo,econometria,38
Journal of International Economics,ortodoxo,internacional,36
Economica,ortodoxo,otros_mainstream,35
NBER Working Paper,institucional,wp_multilateral,30
Journal of Business & Economic Statistics,ortodoxo,econometria,30
IMF Working Paper,institucional,wp_multilateral,26
ECB Working Paper,institucional,wp_bc_avanzado,26
Journal of Finance,ortodoxo,finanzas,25
Economic Journal,ortodoxo,otros_mainstream,24
Review of Economic Studies,ortodoxo,tier1_generalist,23
Economics Letters,ortodoxo,otros_mainstream,23
Review of Economics and Statistics,ortodoxo,econometria,21
Journal of Applied Econometrics,ortodoxo,econometria,21
Libro (Princeton University Press),ortodoxo,libro_mainstream,19
Economic Policy,ortodoxo,otros_mainstream,19
Journal of Macroeconomics,ortodoxo,macro_monetario,18
AEJ: Macroeconomics,ortodoxo,macro_monetario,18
Bank of England,institucional,wp_bc_avanzado,17
World Bank,institucional,wp_multilateral,16
Brookings Papers on Economic Activity,ortodoxo,macro_monetario,16
European Economic Review,ortodoxo,otros_mainstream,16
Bank of Canada,institucional,wp_bc_avanzado,15
Journal of International Money and Finance,ortodoxo,internacional,14
Journal of Economic Dynamics and Control,ortodoxo,macro_monetario,14
Journal of Financial Economics,ortodoxo,finanzas,14
International Journal of Central Banking,ortodoxo,macro_monetario,13
Libro (Wiley),ortodoxo,libro_mainstream,13
Journal of Economic Perspectives,ortodoxo,otros_mainstream,12
Libro (Elsevier),ortodoxo,libro_mainstream,12
Monetaria (CEMLA),institucional,wp_bc_latam,11
Journal of Banking and Finance,ortodoxo,finanzas,11
Libro (Oxford University Press),ortodoxo,libro_mainstream,10
Libro (University Of Chicago Press),ortodoxo,libro_mainstream,9
BIS Working Paper,institucional,wp_multilateral,9
Journal of the European Economic Association,ortodoxo,otros_mainstream,9
El Trimestre Económico,ortodoxo,otros_mainstream,9
Journal of Economic Literature,ortodoxo,otros_mainstream,9
Oxford Bulletin of Economics and Statistics,ortodoxo,econometria,8
Review of Financial Studies,ortodoxo,finanzas,7
Carnegie-Rochester Conference Series,ortodoxo,otros_mainstream,7
Journal of Development Economics,ortodoxo,otros_mainstream,7
Journal of Financial Intermediation,ortodoxo,finanzas,6
Libro (North-Holland),ortodoxo,libro_mainstream,6
Libro (Mit Press),ortodoxo,libro_mainstream,6
Libro (Cambridge University Press),ortodoxo,libro_mainstream,6
NBER Macroeconomics Annual,institucional,wp_multilateral,6
Libro (Springer),ortodoxo,libro_mainstream,5
Journal of Economic Theory,ortodoxo,otros_mainstream,5
Econometric Theory,ortodoxo,econometria,5
IMF Staff Papers,institucional,wp_multilateral,5
Econometric Reviews,ortodoxo,econometria,4
Libro (Mcgraw-Hill),ortodoxo,libro_mainstream,4
Reserve Bank,institucional,wp_bc_avanzado,4
Review of Finance,ortodoxo,finanzas,4
Banco de España,institucional,wp_bc_avanzado,3
Journal of Futures Markets,ortodoxo,finanzas,3
Journal of Labor Economics,ortodoxo,otros_mainstream,3
CEPR Discussion Paper,institucional,wp_multilateral,3
Journal of Economic Surveys,ortodoxo,otros_mainstream,3
Sveriges Riksbank,institucional,wp_bc_avanzado,2
Finance Research Letters,ortodoxo,finanzas,2
Journal of Risk,ortodoxo,finanzas,2
CEMLA,institucional,wp_bc_latam,2
Deutsche Bundesbank,institucional,wp_bc_avanzado,1
IZA Discussion Paper,institucional,wp_multilateral,1
Scandinavian Journal of Economics,ortodoxo,otros_mainstream,1
Journal of Post Keynesian Economics,heterodoxo,post_keynesiano,1
Banco Central de Chile,institucional,wp_bc_latam,1
Oxford Economic Papers,ortodoxo,otros_mainstream,1
Norges Bank,institucional,wp_bc_avanzado,1
Libro (Brookings Institution Press),ortodoxo,libro_mainstream,1
Journal of Evolutionary Economics,heterodoxo,institucionalista,1
Libro (Routledge),heterodoxo,libro_heterodoxo,1
