anio,n_docs,color,autores_activos,periodo
1978,4,#8ecae6,5.0,Pre-estabilización
1979,11,#8ecae6,11.0,Pre-estabilización
1980,16,#8ecae6,11.0,Pre-estabilización
1981,16,#8ecae6,23.0,Pre-estabilización
1982,8,#8ecae6,9.0,Pre-estabilización
1983,3,#8ecae6,3.0,Pre-estabilización
1984,4,#8ecae6,4.0,Pre-estabilización
1985,1,#8ecae6,2.0,Pre-estabilización
1986,0,#8ecae6,,Pre-estabilización
1987,4,#8ecae6,3.0,Pre-estabilización
1988,1,#8ecae6,2.0,Pre-estabilización
1989,0,#8ecae6,,Pre-estabilización
1990,1,#8ecae6,1.0,Pre-estabilización
1991,1,#8ecae6,4.0,Pre-estabilización
1992,0,#8ecae6,,Pre-estabilización
1993,0,#8ecae6,,Pre-estabilización
1994,0,#8ecae6,,Pre-estabilización
1995,9,#219ebc,10.0,Transición
1996,5,#219ebc,7.0,Transición
1997,9,#219ebc,11.0,Transición
1998,7,#219ebc,11.0,Transición
1999,7,#219ebc,11.0,Transición
2000,8,#219ebc,10.0,Transición
2001,8,#219ebc,16.0,Transición
2002,12,#023047,14.0,IT consolidado
2003,5,#023047,9.0,IT consolidado
2004,7,#023047,11.0,IT consolidado
2005,5,#023047,7.0,IT consolidado
2006,15,#023047,15.0,IT consolidado
2007,15,#023047,18.0,IT consolidado
2008,15,#023047,22.0,IT consolidado
2009,18,#023047,22.0,IT consolidado
2010,20,#023047,33.0,IT consolidado
2011,18,#023047,21.0,IT consolidado
2012,18,#023047,34.0,IT consolidado
2013,24,#023047,38.0,IT consolidado
2014,27,#023047,42.0,IT consolidado
2015,25,#023047,42.0,IT consolidado
2016,23,#023047,33.0,IT consolidado
2017,22,#023047,41.0,IT consolidado
2018,27,#023047,44.0,IT consolidado
2019,21,#023047,34.0,IT consolidado
2020,20,#ffb703,39.0,Reciente
2021,26,#ffb703,37.0,Reciente
2022,20,#ffb703,48.0,Reciente
2023,21,#ffb703,36.0,Reciente
2024,20,#ffb703,42.0,Reciente
2025,16,#ffb703,32.0,Reciente
