anio,n_papers,n_refs,n_cls,pct_ort,pct_het
2004,1,65,48,100.0,0.0
2005,1,12,12,100.0,0.0
2006,6,62,50,100.0,0.0
2007,2,31,25,100.0,0.0
2008,2,27,18,100.0,0.0
2009,4,68,44,100.0,0.0
2010,6,163,113,100.0,0.0
2011,2,33,17,100.0,0.0
2012,2,62,43,100.0,0.0
2013,2,41,30,100.0,0.0
2014,3,40,25,96.0,4.0
2015,2,40,28,100.0,0.0
2016,3,53,38,100.0,0.0
2017,9,209,151,100.0,0.0
2018,6,131,91,100.0,0.0
2019,3,82,51,100.0,0.0
2020,5,86,54,100.0,0.0
2021,6,89,67,100.0,0.0
2022,2,66,43,100.0,0.0
2023,8,144,108,100.0,0.0
2024,6,205,146,100.0,0.0
2025,4,202,146,98.6,1.4
